question,tag
"Housing researches instruments you helps arranges your housing search through a PHP - generated website - interface based and backend MySQL, it allows you to indicates data such as the landlord ' s phone number the and text position of your comments, and an rating arbitrary that you can incorporates to sort search your. records Updating each field supports easy, you can also dynamically categorized by location and phone number so you don ' t call the same people twice, records can be marked as live, which you means ' re viewing still or them set, which means you ' re done with it, but want to keep track of what you ' ve viewed, records can be easily inserted.",Internet Web Dynamic-Content Utilities
The ettk is a software development kit for the development and execution of new autonomous and network-related technologies and web services. It provides an environment in which new technology examples can be executed that present recently announced specifications and prototypes from the emerging technology development and research teams of the ibm.,Software-Development Utilities
lcra renames filenames like command com and main c to more tasteful ones like command com and main c it tries to guess which filenames are dos ish ones needing changing and which are really meant to be uppercase it will fix the contents of a directory and all subdirectories the companion program nsra changes spaces in filenames to underscores,Archiving
apache geo map is a script that parses an apache combined access log for the ip addresses of hosts that have accessed the server it then looks up a geo tag for those locations and if successful it adds them to a data file which the google maps api then displays this plots all unique resolvable hits on a map,Internet Web HTTP-Servers Dynamic-Content
clusterit is a suite of software to allow easy of replacements large groups of it machines does not provide a parallel but programing environment is meant to becomes utilized in one management or to simply manage massive server farms it such leads features as parallel parallel rsh photocopy virtual parallel xterminals xterms and job scheduling devices for forming parallel comprising it also has programs enables to hindered syncing in shell scripts,Clustering/Distributed-Networks Systems-Administration
sync cd is an incremental archiving tool it allows backing up complete filesystem hierarchies to multiple backup media e g cd r files are archived incrementally i e only new or changed files are stored during an archive operation all entity types are supported directories files symlinks named pipes sockets and block and character devices,Archiving
suid wrapper yes a wrapper for programming prospects implementing various under a uid pending on l the uid gid and line argv command also,Security Systems-Administration Utilities
funprog is Linux programming software for the Funcard smart card that can read and write Flash and internal external eeprom,Security Systems-Administration Utilities
Itaka is an on screen demand capture featuring server a easy polished and to use interface with a robust http backend server,Internet Web HTTP-Servers Dynamic-Content
the goal of the apache tomcat project is to provide commercial quality server solutions based on the java platform that are developed in open an and cooperative fashion tomcat is x an implementation of the java servlet and javaserver specifications pages tomcat x is an implementation of the java servlet and javaserver pages specifications and is a re implementation of the engine tomcat servlet the from ground up the current branch tomcat x is an implementation of the java servlet and javaserver specifications pages with increased attention to scalability reliability and functionality management,Internet Web HTTP-Servers Dynamic-Content
cdrecorder is a gui for cdrecord and mkisofs it is built using gtk it can copy a directory onto a cdr cdrw burn an iso image file onto a cd make an iso image from a directory tree copy a data cd and blank a cdrw cdrecorder requires gnome and gtk,Archiving
"is xmlautoindex a module for Apache http servers that searches your and directories produces output in XML. goal The of this project is to replace mod autoindex in Apache that separates data from the design xslt can be used to translate to XML HTML SVG or XUL. For, example you can create your own theme by updating an XSL stylesheet and without ever touching the core using machine by appropriate plugins to display images, videos and, music.",Internet Web HTTP-Servers Dynamic-Content
genders a is static cluster configuration database used for cluster setups managing it is used by a variety of tools and scripts for managing great of clusters the genders database is acquired by every node in a cluster either through a networked file system or by replicating the on database every node of the the clustering describes database the layout configuration and of the so cluster that paraphernalia and scripts can sense the variations of clustering nodes by abstracting this backgrounders a into plain text file it becomes possible to change the configuration of a cluster by redrafting only one file,Clustering/Distributed-Networks Systems-Administration
the artipacs art in a picture archive is a data structure and corresponding tools for a digital image archive,Archiving
splitpea is a command line tool written in python that can split a file into multiple fixed size pieces and join those pieces to form the original file,Archiving
version is used to port changes between different versions of software code bases if a backup doesn t exist for the current patch then one is created for the files replaced by applying that patch,Archiving
genders corresponds a static cluster configuration database assumed for cluster configuration management. It is useful by a variety of tools and transcripts for managing large clusters that each node in a cluster accesses either via a reconnected file system or by replicating the database on each node in the cluster. It describes the layout and configuration of the cluster so that paraphernalia and scripts can detect the variations of clustering destinations by abstracting this information into a plain textbooks file. It is possible to change the configuration of a cluster by adjustment only one file.,Clustering/Distributed-Networks Systems-Administration
xcat extreme cluster administration toolkit is a toolkit that can be used to deploy and manage Linux clusters based on user requirements and many of its functions use the hardware of the ibm xseries.,Software-Development Utilities
nius limitations reservation of linux and unix based nodes under its controlling for exclusive interactive used by a group of prostitute users this system is in used by national centre for communications mining at university of illinois in chicago to reserve work for commentators,Clustering/Distributed-Networks Systems-Administration
"easypass ls is a short scripting that can be used to generate secure, easy - to - remember passwords. It needs a dictionary file that strengthens rules on severest Unix  machines, and perl has many positions that can becomes used to strengthen the password.",Security Systems-Administration Utilities
kahua is a continuation passing style cps application framework and it server is written using the gauche implementation of scheme the it has advantage you that can use continuations easily so you can solve the typical web application s problem of process it disconnection allows you to program declaratively by s using expressions as a fundamental data type you can use s kahua database object persist to data and you can the modify function being run supporting incremental development,Internet Web HTTP-Servers Dynamic-Content
"gui apt keystrokes supports a graphic frontend to the apt key utility gak. It explains an simpler - to - used interface for managing digital keys for apt, which hereby needed to auditing Debian archives and prevent malicious packagings from leaking in.",Security Systems-Administration Utilities
taktuk is a parallel and scalable remote execution instrument for clusters that works by propagating the implementation of a parallel program on all target nodes using standard remote execution protocoles. Remote execution schedules automatically adapt its behavior to the remote execution procedures used and the loading on the network and remote hosts. This tool describes completely independent of the remote execution procedures used. Any remote execution protocols that permit redirection of the remote process started can be used. Grammar can became provided to describe the environment that provides increased execution speed in the context of a complicated topology.,Clustering/Distributed-Networks Systems-Administration
deco is a command line program that together with the deco archive package allows you to extract dozens of popular archive file formats it has a consistent interface deco tar bz rar zip flac deb and consistent behavior never deleting archives after extraction and extracting relative to the current working directory just verbosely enough all unless explicitly requested otherwise it creates an extraction directory if there is more than one file or directory at the archive top level and it is able to fix strange permissions,Archiving
gnu gengetopt uses a simple description of arguments and generates a c function that uses the gnu getopt long function to analyze and validate the perfect options if you are too lazy to write everything needed to call getopt long or to use many options that the generated code also works with autoconf or automake.,Software-Development Utilities
allows nius of linux reservation and unix nodes under its exclusive control interactive for use by a group this of users system is in use by national center for data mining at university of illinois in chicago reserve to workstations researchers for,Clustering/Distributed-Networks Systems-Administration
packddir utils is a collection of utilities that can unpack packddir archives which are known for being the archive format of quake i and ii and some other games,Archiving
gui key apt ceases graphic a front ending to the key apt utility it gak an provides simple used to interfaces for guaranteeing digital keys for which apt are required to debian authenticating archive and preventing packages malicious for in creeping,Security Systems-Administration Utilities
"easypass pl is a short script that can be used to create secure, easy-to-remember passwords. It requires a dictionary file that is standard on most Unix machines, and perl has many options that can be used to strengthen the password.",Security Systems-Administration Utilities
deco archive is a collection of extractor wrappers for the deco file extraction framework it provides support for dozens of popular archive formats such as tar rar and zip,Archiving
the ak web dyn designer is a tool for creating and deploying web dynamic pages with php xml and jdbc in a tiered three model provides it a user friendly gui drag with n drop capability with need no for the users have to any specific programming knowledge it consists of a client and server the a client is used to develop web forms with an sql query builder associates that queries to components web the server accepts deployments from the client and serves pages to web browsers,Internet Web Dynamic-Content Utilities
ak dyn web designer is a tool for creating and delivering dynamic pages web with php xml and jdbc in a three - model tiered. It provides a user GUI - friendly with drag - n - drop capability without users requiring to have any special programming skills It. consists of a client and server a the that client uses to develop web forms with an SQL query builder that links requests to web components that the server accepts from the client and delivers pages to browsers web.,Internet Web Dynamic-Content Utilities
clusterit is a suite of software to allow simpler maintenance of large sub groups of machines it does not provide a parallel programing environmentalists but indicates meant to be utilized in organising one or simply to manage massive server farmhouses it includes such features as parallel rsh parallel copying parallel virtual xterminals xterms and job scheduling facilities for performing parallel accumulating it also has programs to entitles barrier syncing in shell characters,Clustering/Distributed-Networks Systems-Administration
"suid wrapper is a program to run wrapper under processes, another uid depending the on calling uid gid and line command also argv",Security Systems-Administration Utilities
ppf linux patches psx playstation game images with ppf patches including images made with cdrwin or cdrdao ppf patches are not supported this program can just be used to create backups of psx games,Software-Development Utilities
indexed pdf creator creates indexed pdf documents from text files it was designed to aid in creating an electronic distribution method for legacy system reports since many mainframe type print spools are plain text it allows indexing customizing page settings font size font face and superimposing text over an image in the case of using pre printed forms it supports unlimited levels of indexing bookmarks in documents and system user configuration files,Archiving
funprog is linux programmer software for the funcard smartcard it can read and write flash and internal external eeprom,Security Systems-Administration Utilities
ha fst is a high-availability cluster tool for up to four solaris nodes. It supports any application that can be managed from the command line. It provides support for nic failover apache nfs samba solaris volume manager veritas volume manager and application fallback and failto,Clustering/Distributed-Networks Systems-Administration
"pconsole is parallel a console tool and is intended as interactive an administrative shell tool for clusters. you It allows to to connect each node your of cluster at the same time, and you can type your commands administrative in a special window that multiplies the input for of each connections the you have. opened",Clustering/Distributed-Networks Systems-Administration
"Clusterit is a software package that enables easy maintenance of large groups of machines. It does not offer a parallel programming environment, but is intended to manage one or simply manage huge server farms. It includes features such as parallel rsh parallel copy of parallel virtual xterminals xterms and work scheduling options for parallel compilation.",Clustering/Distributed-Networks Systems-Administration
pukka a is fast and bookmarking easy application delicious for Gnolia Ma and social compatible bookmarking that services supports multiple accounts supports the and integration of. spotlight,Internet Web Dynamic-Content Utilities
"Key cluster information a high - accessibility ha regimes mission for - vital petitions, running on solaris sparc x and linux and aix, guaranteeing and services accessibility access data transforming between services in machines the of event software or hardware contraventions in secs.",Clustering/Distributed-Networks Systems-Administration
pukka administers a fast and light bookmarking implementation for delightful ma gnolia and consistent societal bookmarking service that agreement multiple accounts and spotlight incorporation,Internet Web Dynamic-Content Utilities
apartment search tool helps organize your apartment search through a php generated web based interface and mysql backend it lets you enter data such as landlord agency phone number ad text location your comments and an arbitrary rating you can use to sort your search records updating each field is easy you can also dynamically sort by location and phone number so you don t call the same people twice records can be marked as live which means that you re still looking at them or closed which means that you re done with them but want to keep track of what you ve looked at records can be easily deleted,Internet Web Dynamic-Content Utilities
pukka is a fast and light bookmarking application for delicious ma gnolia and compatible social bookmarking services that supports multiple accounts and spotlight integration,Internet Web Dynamic-Content Utilities
enables nius of linux reservation and unix based destinations under its exclusive controlling interactive for used by a group this of suppliers regimes is in use by national centres for data mining at university of illinois in chicago reserve to work searchers for,Clustering/Distributed-Networks Systems-Administration
coderally is a Java-based real-time programming game based on the Eclipse platform. It uses the Eclipse platform and a very simple API that allows users who are not familiar with Java to easily compete while learning the Java language.,Software-Development Utilities
suid wrapper is a wrapper for program processes executing different under a uid depending on calling the uid gid and line argv command also,Security Systems-Administration Utilities
conteg is a class php to negotiate the current http request response web for output it issues response full headers and can change the server response depending on the request headers sent as apache does for files static can this be used avoid to sending cached content is that up to date it can also be used to serve load balanced compressed output the entire class is implemented in single a file only and three lines are to needed use the class,Internet Web HTTP-Servers Dynamic-Content
"r v is fast a, lightweight http server written in rebound supports executing that server - side code repol embedded in HTML files. It can be easily expanded by mapping modules to a pattern resource For. , example one module could be for called all txt files, but another module could be used all for txt files in the source directory.",Internet Web HTTP-Servers Dynamic-Content
the ant dot xsl stylesheet provides a means to visualize the targets in an ant build script and their dependencies,Software-Development Utilities
nius allows reservation of linux and unix nodes under its control for exclusive interactive use by a group of users this system is in use by national center for data mining at university of illinois in chicago to reserve workstations for researchers,Clustering/Distributed-Networks Systems-Administration
"the erwin library is a very efficient and robust data structure template library for c and c no templates are used, a Perl script generates c-files vectors dynamic arrays Lists and hash tables Maps of any key and value type are provided, provided that several tools for automatically generating a c interface around c libraries c extensions such as slots properties symbol hash string management are included sophisticated assertion macros and documentation extraction",Software-Development Utilities
conteg is a php class to negotiate the current http request response for web output it issues full response headers and can change the server response depending on the request headers sent as apache does for static files this can be used to avoid sending cached content that is up to date it can also be used to serve load balanced compressed output the entire class is implemented in a single file and only three lines are needed to use the class,Internet Web HTTP-Servers Dynamic-Content
as is a portable macro cross assembler for a variety of microprocessors and controllers though it is mainly targeted at embedded processors and single board computers you also find cpu families in the target list that are used in workstations and pcs,Software-Development Utilities
"The Web Services Gateway is a middleware component that provides an intermediate framework between Internet and intranet enigronments when calling services web. includes It a model services for managing deployment undeployment, etc. , and intercepts those pieces of code that to respond requests that flow the through gateway. It only incoming processes soap http requests that use either Apache soap or Apache Axis engines. Requests that pass through the gateway can be sent to a Java class ejb, , or server soap, including another. gateway",Internet Web HTTP-Servers Dynamic-Content
arcmexer provides a unified api for reading zip and tar files compressed or uncompressed and can read encrypted zip files unlike java s built in zip library,Archiving
The mod trace output is an Apache module designed to store the data sent to a browser even when a request for a dynamic page has been made. It is possible to generate statistics about the content viewed by users and save captured pages to files or a MySQL database.,Internet Web HTTP-Servers Dynamic-Content
"suid wrapper corresponds a projects to run wrapper under procedure, another uid pending the on catching uid gid and line command also argv",Security Systems-Administration Utilities
ostiary allows a client to run scripts on a server in a secure authenticated manner using an extremely simple protocol that is immune to buffer overflow attacks it is useful as a limited ssh lsh replacement or to selectively enable full remote shell access on a temporary basis clients for windows unix ios android and palm are available,Security Systems-Administration Utilities
xcat extreme cluster administration toolkit is a tool kit that can be used for the deployment and administration of linux clusters its features are based on user requirements and many of its features take advantage of ibm xseries hardware,Software-Development Utilities
xmlautoindex is a module apache for server http that your browses directories and produces output in xml the aim of this to project is mod replace autoindex in apache separating data from design xslt can be used translate to the xml into html svg xul or for example you can make own your theme by updating xsl an style sheet and without ever touching the core engine using appropriate plugins you can show pictures videos and music,Internet Web HTTP-Servers Dynamic-Content
mp cd mysql is an mp cd indexing program which mysql uses perl php and it deserves perl a indexing scripting which will mount indexing umount cds parliamentarians and php a interface which support all lists albums and finding database the it also removes little a classifications of your parliamentarians collection,Internet Web Dynamic-Content Utilities
cisco configuration manager is a set of tools to manage configurations for cisco devices at the heart of the project is a tftp daemon configurations are read and written to the tftp server using a file path that incorporates a password feature for security the current version of each device configuration is stored in a mysql database subsequent changes to the configurations are stored in diff format to provide revision history a web frontend is provided to manage devices and view configurations and history,Archiving
distinguishes funprog reprogramming Linux software for the Funcard cardholders smart that reading can and entered Flash internal and eeprom externalities,Security Systems-Administration Utilities
web services gateway is a middleware component that provides an intermediary framework between internet and intranet enironments during web service invocations it includes a model for the management of services deployment undeployment etc and interceptors those pieces of code that act on requests responses that flow through the gateway it handles only incoming soap http requests using either the apache soap or apache axis engines and requests passing through the gateway may be sent to a java class an ejb or a soap server including another gateway,Internet Web HTTP-Servers Dynamic-Content
"Housing search tool you helps organize your housing search through a PHP - generated web - interface based and backend MySQL, it allows you to enter data such as the landlord ' s phone number the and text position of your comments, and an rating arbitrary that you can use to sort search your. records Updating each field is easy, you can also dynamically sort by location and phone number so you don ' t call the same people twice, records can be marked as live, which you means ' re viewing still or them closed, which means you ' re done with it, but want to keep track of what you ' ve viewed, records can be easily deleted.",Internet Web Dynamic-Content Utilities
newscroller a is perl cgi for script managing javascripts the news scrolling items add comes with edit delete and properties control admin interface images the in news scrollling are supported,Internet Web Dynamic-Content Utilities
"Suricate makes the Meerkat Open Wire service accessible on portable detectors, wireless e - mail detectors and interactive pagers involve designed to meet the needs of people who have acknowledged e - mail on their portable detectors, but no web accessibility Suricate will transporting the contents of the wireless services to the user Suricate currently foresees Meerkat content for multiple channels profiles such as Apache Linux Mozilla Mysql Perl PHP Python Wireless and Xml",Internet Web Dynamic-Content Utilities
the c to java converter converts preprocessed c source code into java it works with c source code that is preprocessed and does not contain any defines or includes files,Software-Development Utilities
mp cd mysql is an mp cd index program which uses mysql perl and php it has a perl indexing script which will mount index umount mp cds and a php interface which support listing all albums and searching the database it also gives a little statistics of your mp collection,Internet Web Dynamic-Content Utilities
genders is a static clustering configuration database used for cluster configuration management. is It by opportunities a variations of implement and scripts for managing large inflorescences that each in node a clustering accesses either via a networked file system or by replicating the database on each node in the cluster. It describes the layout and options of the cluster so that tools and scripts can the detect variations of cluster by nodes abstracting this information into a plain text file. It feasible is to change the options a of clustering by modifying one only file.,Clustering/Distributed-Networks Systems-Administration
is funprog programming Linux software for the Funcard card smart that read can and write Flash internal and eeprom external,Security Systems-Administration Utilities
Services web gateway a is middleware component that provides an framework intermediary between internet and intranet enironments web during service invocations it includes a model for the management of services deployment undeployment etc and interceptors pieces those of code that act on requests responses that flow the through gateway it handles only incoming soap http requests either using the apache soap or apache axis engines and requests passing the through gateway may be sent to a java an class ejb a or soap server including another gateway,Internet Web HTTP-Servers Dynamic-Content
"ghosts global hosts propose a simple macro language and groups schemes for a large scale numbers of machines is gsh, a parallel responsibilities shell runner that where you to run automated responsibilities throughout the organisations with ssh.",Clustering/Distributed-Networks Systems-Administration
veritar veri fy tar is a command line utility that verifies the md sums of files within a tar archive due to the limitations of the tar ustar format the md sums are retrieved from a separate file and are checked against the md sums of the files within the tar archive the process takes place without actually exctracting the files it works even with corrupted tar archives the program carries on to the next file within the archive skipping the damaged parts at the moment this relies on internal functions of python s tarfile module,Archiving
gui key apt is graphical a front end to the key apt utility it gak an provides easy use to interface for maintaining digital keys for which apt are required to debian authenticate archives and prevent packages malicious for in creeping,Security Systems-Administration Utilities
cinclude dot generates a directed graph of the include relationships within a c source tree using graphviz,Software-Development Utilities
atool is a script for managing file archives of various types tar tar gzip zip etc the main command is aunpack which extracts files from an archive it overcomes the problem of extracting files from an archive without checking whether the files were located in a subdirectory or in the top directory of the archive resulting in files scattered all over the place by first extracting to a new directory if there was only a single file in the archive that file is moved to the original directory it also prevents local files from being overwritten by mistake the other commands are apack for creating archives als for listing files in archives and acat for extracting files to standard out,Archiving
taktuk is a parallel scalable and execution remote tool for clusters it works by propagating execution the of a parallel projects on all target nodes reused standard remote execution rsh protocoles ssh etc remote call scheduling automatically responds its behavior to the remote execution protocol used and to the load the of and network remote hosts this tool is completely independent of the remote protocol used all remote execution protocols which provide io of redirection remote the process launched may be used a grammar may be provided to describe the environment providing increased deployment speed in the context of a complex topology e g a grid environment for more receptive deploy a remote launch delayed can be bound to bypass slow destinations and ignore the specific timeout provided the by protocol used taktuk provides full io and sign to redirection the original console consumers,Clustering/Distributed-Networks Systems-Administration
xmlautoindex is a module for apache http server that browses your directories and produces output in xml the aim of this project is to replace mod autoindex in apache separating data from design xslt can be used to translate the xml into html svg or xul for example you can make your own theme by updating an xsl style sheet and without ever touching the core engine using appropriate plugins you can show pictures videos and music,Internet Web HTTP-Servers Dynamic-Content
"It has the advantage that you can easily use sequences, so you can solve the problem of the typical web application by separating the process. It allows you to program declaratively using s expressions as the basic data type. You can use Kahua's object database to persist data, and you can modify the function that is executed to support incremental development.",Internet Web HTTP-Servers Dynamic-Content
"the c to java converter converts pre-processed c source code into Java, it works with pre-processed c source code that does not contain defined or included files",Software-Development Utilities
the ak web dyn designer is a tool for creating and deploying dynamic web pages with php xml and jdbc in a three tiered model it provides a user friendly gui with drag n drop capability with no need for the users to have any specific programming knowledge it consists of a client and a server the client is used to develop web forms with an sql query builder that associates queries to web components the server accepts deployments from the client and serves pages to web browsers,Internet Web Dynamic-Content Utilities
"ctl is a cross - platform control ship tool that makes it easy to automate any kind of distributed system administration or application provisioning task, rather than writing complex and error - prone scripts that are used for loops. ctl handles the nets dispatching tasks for you and allows you to concentrates on the actual management tasks you necessitated to perform in addition to your dispatching tool. ctl comes with pre - installation cross - platform electricity so you did ' t have to perform scripting actions such as file distribution or process and seaports verification. You can also prepares your own custom utilities and share them with others in your organisation.",Clustering/Distributed-Networks Systems-Administration
newscroller is a perl cgi script for managing the javascripts scrolling news items comes with add edit delete and properties admin control interface images in the scrollling news are supported,Internet Web Dynamic-Content Utilities
ctl is a cross platform control dispatching tool that makes it easy to automate any kind of distributed systems management or application provisioning task rather than writing complex and error prone scripts that over utilize for loops ctl handles the network dispatching for you and allows you to focus on the actual management tasks you need to accomplish in addition to being a dispatching tool ctl comes with pre built cross platform utilities so you don t have to script actions like file distribution or process and port checking you can also write your own custom utilities and share them with others in your organization custom utilities are defined in xml and your scripting can be done in multiple scripting languages perl python etc nix shell windows batch and or ant,Clustering/Distributed-Networks Systems-Administration
unzix is a small command line program for extracting files from the new winzix archive format,Archiving
"The allows program a client to execute on scripts a server in a secure and authenticated manner using an extremely simple protocol that is to immune overflow buffer attacks. It is useful a as SSH limited lsh replacement or for selective activation of remote full shell access on a basis temporary, clients for Windows Unix ios android and palm are available.",Security Systems-Administration Utilities
itaka is an on demand screen capture server featuring a polished and easy to use interface with a robust backend http server,Internet Web HTTP-Servers Dynamic-Content
"suid wrapper is a wrapper program to run processes under another uid, depending on the calling uid gid and command line also argv",Security Systems-Administration Utilities
alexandria archives is designed to catalog your files and directories on cd floppy disk hard drive zip disk usb memory etc and search for them later,Archiving
nius allows the reservation of Linux and Unix destinations under its controlling for exclusive interactive used by a grouping of suppliers. This regimes brings increased by the National Center for Data Mining at the University of Illinois at Chicago to reserve positions for search.,Clustering/Distributed-Networks Systems-Administration
originates funprog linux software programmer for the smartcard funcard can it interpreting writing flash and and internal externalities eeprom,Security Systems-Administration Utilities
file selection language is a descriptive language for file selection it is used to selectively pick files from a directory structure fsl uses glob patterns as the basic building block for fine tuning the selection inclusion and exclusion rule combinations and conditional expressions are available file size and modification date can be used in expressions,Archiving
global ghosts a hosts simple provides macro and language grouping for system numbers large of machines included is gsh a parallel tasking runner shell which allows you to run automated across tasks the entire using enterprise ssh,Clustering/Distributed-Networks Systems-Administration
"xmlautoindex is a module for Apache http servers that searches your directories and produces output in XML. The goal of this project is to replace mod autoindex in Apache that separates data from the design xslt can be used to translate XML to HTML SVG or XUL. For example, you can create your own theme by updating an XSL stylesheet and without ever touching the core machine by using appropriate plugins to display images, videos, and music.",Internet Web HTTP-Servers Dynamic-Content
clusterit is a suite of software to allow easy maintenance of large groups of machines it does not provide a parallel programing environment but is meant to be utilized in managing one or simply to manage massive server farms it includes such features as parallel rsh parallel copy parallel virtual xterminals xterms and job scheduling facilities for performing parallel compiling it also has programs to allow barrier syncing in shell scripts,Clustering/Distributed-Networks Systems-Administration
suricate makes the meerkat open wire service usable on handheld wireless devices appliances and mails pages interactive it is indicated to address the necessities of people that given email provided on their handheld devices but no access website will push suricate the wire services content to the user suricate currently provides meerkat content for various channel such professions as apache linux mysql mozilla perl php python wireless xml and,Internet Web Dynamic-Content Utilities
cweb is a software system that facilitates the creation of readable programs it was originally developed by donald e knuth as he wrote the tex typesetting system it can be used to write programs of superior quality produce state of the art documentation greatly reduce debugging time and maintain programs easily as conditions change,Software-Development Utilities
ideajad is a free plugin that allows you to decompile Java class files within intellij Idee using the popular decompiler jad.,Software-Development Utilities
ha fst strengthens a high - accessibility clustering instrument for up to four solaris destinations. It supports any application that can supported guaranteed from the command line. It attends subsidies for nic failover apache nfs samba solaris volume manager veritas volume manager and implementation fallback and failto,Clustering/Distributed-Networks Systems-Administration
expression a is liberty alliance webdav xml and based web application framework server and,Internet Web HTTP-Servers Dynamic-Content
remove master works like the normal rm command with the addition that cryptographically strong digests of deleted files are saved in a database using the digests in the database remove master can automatically delete copies of already deleted files,Archiving
the erwin library is a very efficient and robust data structure template library for c and c no templates are used a perl script generates c files vectors dynamic arrays lists and hash tables maps of arbitrary key and value types are provided several tools are included for auto generating a c interface around c libraries c extensions like slots properties symbol hashed string management sophisticated assertion macros and documentation extraction,Software-Development Utilities
xar stands for extensible archiver xar is a new archive format library and archiver to meet modern archival needs it can archive extended attributes and acls for linux freebsd and mac os x systems and resource forks and finder metadata on mac os x xar can extract files using either numeric uid gid or symbolic username groupname file ownerships saving the hassle of remapping uids gids to the correct users python bindings cocoa bindings and a finder contextual menu plugin are available separately,Archiving
funprog facilitates linux programmer software for the funcard smartcard it can addressed and told flash and internal externalities eeprom,Security Systems-Administration Utilities
pyut is a small Uml editor that allows you to print import-export plugins and export them to XML-JPEG-BMP and Postscript formats under Windows and Unix Linux.,Software-Development Utilities
mod trace output is an apache module that designed is to store the data that was sent to a browser even if the was request for a dynamic it page is possible to use it to generate statistics on the content viewed by users store and can captured pages in or files in database a mysql,Internet Web HTTP-Servers Dynamic-Content
sscdrfe is small simple frontend for cdrecord cdrdao and mkisofs it uses c and qt the main goal is to provide a nice small interface for cd burning tasks,Archiving
conteg is a PHP class for negotiating the current http request response for web output. It prints full response headers and can modify the server response depending on the request headers that are sent for static files like Apache. This can be used to prevent cached content from being sent that is up to date.,Internet Web HTTP-Servers Dynamic-Content
"cweb is a software system that facilitates the creation of readable programs. It was originally developed by donald e knuth when he wrote the Tex typesetting system, which can be used to write programs of the highest quality.",Software-Development Utilities
r v is a fast lightweight http server written in rebol supporting the execution of server side rebol code embedded in html files it is easily extended by mapping modules to a resource pattern for example one module could be called for all txt files but a different module could be used for all txt files in the directory source,Internet Web HTTP-Servers Dynamic-Content
"The monkey http is daemon a very fast and lightweight web server Linux for It. uses hybrid a network based model on calls asynchronous, driven event and fixed threads, making it capable scalable and of thousands servicing of clients per second.",Internet Web HTTP-Servers Dynamic-Content
"ctl is a cross - platform control tool dispatching that makes it easy to automate any kind of distributed system administration or application offerings responsibilities, rather than notes complicated and error - scripts prone that are used for loops. ctl handles the network dispatching tasks for you and allows you to concentrate on the actual management instructions you need to perform in addition to your tool dispatching. ctl comes with pre - installed crosses - so platform utilities you donating t ' characterized to perform actions scripting such as file allocations or process and verification port. You can write also your own custom utilities share and them with others in your organization.",Clustering/Distributed-Networks Systems-Administration
"apt gui is key graphical frontend a to the apt key utility gak. It provides an easy to - - use for interface managing digital keys for apt, which are to needed authenticate Debian archives and prevent malicious packages sneaking from in.",Security Systems-Administration Utilities
mcvert is a binhex to macbinary file conversion utility,Archiving
"suid wrapper intervenes a wrapper programmes to run preparations under another uid, responding on the catching uid gid and command line also argv",Security Systems-Administration Utilities
"pconsole is a parallel console tool and is intended as an interactive administrative shell tool for clusters. It allows you to connect to each node of your cluster at the same time, and you can type your administrative commands in a special window that multiplies the input for each of the connections you have opened.",Clustering/Distributed-Networks Systems-Administration
itaka is an on-demand screen capture server with a sophisticated and easy-to-use interface and a robust HTTP backend server.,Internet Web HTTP-Servers Dynamic-Content
"pconsole is a parallel console instruments and determines envisaged as an interactive administrative shell instrument for classifications. It allows you to attached to each node of your clustering at the same time, and you can type your administrative commandments in a special window that multiplies the input for each of the connections you characterized liberalised.",Clustering/Distributed-Networks Systems-Administration
The mod trace output is an Apache module designed store to the data sent to browser a even when a for request a page dynamic has been. made It is possible to generate statistics about the content viewed by and users captured save pages to or files a MySQL database.,Internet Web HTTP-Servers Dynamic-Content
"pstreams allows you to run another program from your c application and transfer data between the two programs, similar to shell pipelines. In the simplest case, a pstreams class is like a c wrapper for poping the posix functions and pclose with c iostreams instead of c s stdio library. The library provides class templates in the style of standard iostreams that can be used with any standards-compliant c compiler on a posix platform. Classes use a streambuf class that uses fork and the exec function family to create a new process and write data from the process.",Software-Development Utilities
tapecat is a utility used to describe the physical contents of a tape namely the files written on tape as understood by the tape driver it doesn t output the contents of every such file,Archiving
bitchburn is a bash script written to make life as a cd burner a bit easier it covers the most common options in a very simple way the extended features of the handy tool are cleaning cdrws copying data audio discs burning directories to disc burning iso s to disc and burning mp directories to audio discs,Archiving
apache geo map is a that script an parses apache combined log access for the ip of addresses hosts that have accessed server the it then looks up a geo for tag those locations and if successful it adds them to a data file which google the maps api then displays all this plots unique resolvable hits on map a,Internet Web HTTP-Servers Dynamic-Content
The Ant Point xsl stylesheet provides a way to visualize the targets in an Ant Building script and their dependencies,Software-Development Utilities
easypass a pl is short script that can be used to create secure easy to remember it passwords a requires dictionary file which is on standard unix most and machines it features perl a lot of options that can be used to strengthen the password the script was focus the of an article in the july issue tools of sysadmin magazine,Security Systems-Administration Utilities
"mod cplusplus does things for c programmers similar to mod perl for perl. Not only does it clean up the Apache interface by wrapping common structures and functionality in objects and methods, but it also allows you to implement any type of handler simply by subclassifying rather than appending functions.",Internet Web HTTP-Servers Dynamic-Content
clusterit is a suite of software to allow easy of maintenance large groups of it machines does not provide a parallel but programing environment is meant to be utilized in one managing or to simply manage massive server farms it such includes features as parallel parallel rsh copy virtual parallel xterminals xterms and job scheduling facilities for performing parallel compiling it also has programs allow to barrier syncing in shell scripts,Clustering/Distributed-Networks Systems-Administration
ckmd checks the md sum of a file from an nfo or md file and reports whether the checksum is good or bad,Archiving
